epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1119.84,0.6184,0.54424,0.94816,0.63155,0.61538,0.66003,0.40981,1.3464,1.86887,1.2311,0.0004952,0.0004952,0.0004952
116,1130.86,0.71826,0.57997,0.99079,0.57816,0.63351,0.69602,0.43518,1.27974,1.5581,1.12301,0.000482,0.000482,0.000482
117,1141.75,0.6593,0.5452,0.96564,0.65187,0.61538,0.69976,0.41483,1.37074,1.50166,1.1637,0.0004688,0.0004688,0.0004688
118,1152.43,0.62967,0.55854,0.95641,0.72004,0.61538,0.69272,0.39135,1.48923,1.78893,1.29079,0.0004556,0.0004556,0.0004556
119,1164.33,0.63253,0.53935,0.95374,0.85094,0.46154,0.64073,0.34173,1.51446,1.83535,1.32175,0.0004424,0.0004424,0.0004424
120,1177.72,0.63976,0.55544,0.96374,0.74605,0.46154,0.64995,0.35842,1.44746,1.81387,1.28834,0.0004292,0.0004292,0.0004292
121,1189.48,0.66286,0.58766,0.959,1,0.45775,0.69171,0.39716,1.3598,1.79024,1.21246,0.000416,0.000416,0.000416
122,1199.55,0.64025,0.54591,0.98535,0.99487,0.46154,0.73416,0.43382,1.29979,1.63417,1.16003,0.0004028,0.0004028,0.0004028
123,1210.35,0.59813,0.52535,0.92412,0.80266,0.53846,0.7492,0.48049,1.23163,1.55005,1.11501,0.0003896,0.0003896,0.0003896
124,1221.8,0.61043,0.54401,0.92385,0.88017,0.61538,0.80094,0.54654,1.17338,1.2861,1.0919,0.0003764,0.0003764,0.0003764
125,1231.63,0.60311,0.55722,0.94343,0.87576,0.61538,0.83329,0.58105,1.16427,1.18616,1.09532,0.0003632,0.0003632,0.0003632
126,1241.28,0.62585,0.57816,0.94878,0.87859,0.61538,0.83888,0.58133,1.16868,1.16841,1.11246,0.00035,0.00035,0.00035
127,1250.95,0.68313,0.58579,1.03691,0.88843,0.61538,0.84437,0.56002,1.19623,1.23861,1.14205,0.0003368,0.0003368,0.0003368
128,1263.28,0.61501,0.50302,0.95413,0.99238,0.53846,0.80033,0.47594,1.30566,1.62316,1.18878,0.0003236,0.0003236,0.0003236
129,1273.79,0.59847,0.52434,0.94728,0.99839,0.53846,0.75311,0.45565,1.35372,1.69432,1.27046,0.0003104,0.0003104,0.0003104
130,1284.13,0.65209,0.54471,1.00532,1,0.53603,0.75164,0.42346,1.36818,1.68596,1.28834,0.0002972,0.0002972,0.0002972
131,1294.31,0.56151,0.50965,0.92291,1,0.53499,0.69997,0.43206,1.35235,1.68256,1.28716,0.000284,0.000284,0.000284
132,1304.26,0.6319,0.55277,0.94607,0.87609,0.54451,0.66457,0.43166,1.35871,1.66784,1.30009,0.0002708,0.0002708,0.0002708
133,1314.46,0.55224,0.51715,0.91203,0.88751,0.60777,0.67285,0.44706,1.40679,1.66239,1.31689,0.0002576,0.0002576,0.0002576
134,1324.4,0.60141,0.51858,0.93075,0.99997,0.53846,0.6725,0.42333,1.45386,1.66919,1.35489,0.0002444,0.0002444,0.0002444
